Infinitive,высу́шивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,высу́шивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,высу́шивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,высу́шиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,высу́шивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,высу́шивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,высу́шивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,высу́шиваю
2nd Sing,высу́шиваешь
3rd Sing,высу́шивает
1st Pl,высу́шиваем
2nd Pl,высу́шиваете
3rd Pl,высу́шивают
Past M,высу́шивал
Past F,высу́шивала
Past N,высу́шивало
Past PL,высу́шивали
Imp S,высу́шивай
Imp PL,высу́шивайте
