Infinitive,вы́дохнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́дохнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́дохнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́дохнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́дохнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́дохну
2nd Sing,вы́дохнешь
3rd Sing,вы́дохнет
1st Pl,вы́дохнем
2nd Pl,вы́дохнете
3rd Pl,вы́дохнут
Past M,вы́дохнул
Past F,вы́дохнула
Past N,вы́дохнуло
Past PL,вы́дохнули
Imp S,вы́дохни
Imp PL,вы́дохните
