Infinitive,вы́прямиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́прямившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́прямившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́прямлюсь
2nd Sing,вы́прямишься
3rd Sing,вы́прямится
1st Pl,вы́прямимся
2nd Pl,вы́прямитесь
3rd Pl,вы́прямятся
Past M,вы́прямился
Past F,вы́прямилась
Past N,вы́прямилось
Past PL,вы́прямились
Imp S,вы́прямись
Imp PL,вы́прямитесь
