Infinitive,вы́плеснуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́плеснувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́плеснувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́плеснусь
2nd Sing,вы́плеснешься
3rd Sing,вы́плеснется
1st Pl,вы́плеснемся
2nd Pl,вы́плеснетесь
3rd Pl,вы́плеснутся
Past M,вы́плеснулся
Past F,вы́плеснулась
Past N,вы́плеснулось
Past PL,вы́плеснулись
Imp S,вы́плеснись
Imp PL,вы́плеснитесь
