Infinitive,вы́литься
Zaliznyak Class,11a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́лившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́лившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́льюсь
2nd Sing,вы́льешься
3rd Sing,вы́льется
1st Pl,вы́льемся
2nd Pl,вы́льетесь
3rd Pl,вы́льются
Past M,вы́лился
Past F,вы́лилась
Past N,вы́лилось
Past PL,вы́лились
Imp S,вы́лейся
Imp PL,вы́лейтесь
