Infinitive,вы́глянуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́глянувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́глянув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вы́глянувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́гляну
2nd Sing,вы́глянешь
3rd Sing,вы́глянет
1st Pl,вы́глянем
2nd Pl,вы́глянете
3rd Pl,вы́глянут
Past M,вы́глянул
Past F,вы́глянула
Past N,вы́глянуло
Past PL,вы́глянули
Imp S,вы́гляни
Imp PL,вы́гляните
