Infinitive,вы́верить
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́веривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́веренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́верив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́веривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́верю
2nd Sing,вы́веришь
3rd Sing,вы́верит
1st Pl,вы́верим
2nd Pl,вы́верите
3rd Pl,вы́верят
Past M,вы́верил
Past F,вы́верила
Past N,вы́верило
Past PL,вы́верили
Imp S,вы́вери
Imp PL,вы́верьте
