Infinitive,вы́ждать
Zaliznyak Class,6°a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́ждавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́жданный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́ждав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́ждавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́жду
2nd Sing,вы́ждешь
3rd Sing,вы́ждет
1st Pl,вы́ждем
2nd Pl,вы́ждете
3rd Pl,вы́ждут
Past M,вы́ждал
Past F,вы́ждала
Past N,вы́ждало
Past PL,вы́ждали
Imp S,вы́жди
Imp PL,вы́ждите
