Infinitive,вы́скользнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́скользнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́скользнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вы́скользнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́скользну
2nd Sing,вы́скользнешь
3rd Sing,вы́скользнет
1st Pl,вы́скользнем
2nd Pl,вы́скользнете
3rd Pl,вы́скользнут
Past M,вы́скользнул
Past F,вы́скользнула
Past N,вы́скользнуло
Past PL,вы́скользнули
Imp S,вы́скользни
Imp PL,вы́скользните
