Infinitive,вы́менять
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́менявший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́менянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́меняв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́менявши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́меняю
2nd Sing,вы́меняешь
3rd Sing,вы́меняет
1st Pl,вы́меняем
2nd Pl,вы́меняете
3rd Pl,вы́меняют
Past M,вы́менял
Past F,вы́меняла
Past N,вы́меняло
Past PL,вы́меняли
Imp S,вы́меняй
Imp PL,вы́меняйте
