Infinitive,вы́спаться
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́спавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́спавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́сплюсь
2nd Sing,вы́спишься
3rd Sing,вы́спится
1st Pl,вы́спимся
2nd Pl,вы́спитесь
3rd Pl,вы́спятся
Past M,вы́спался
Past F,вы́спалась
Past N,вы́спалось
Past PL,вы́спались
Imp S,вы́спись
Imp PL,вы́спитесь
