Infinitive,вы́садить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́садивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́саженный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́садив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́садивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́сажу
2nd Sing,вы́садишь
3rd Sing,вы́садит
1st Pl,вы́садим
2nd Pl,вы́садите
3rd Pl,вы́садят
Past M,вы́садил
Past F,вы́садила
Past N,вы́садило
Past PL,вы́садили
Imp S,вы́сади
Imp PL,вы́садите
