Infinitive,выра́щивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выра́щивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выра́щивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выра́щиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выра́щивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выра́щивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выра́щивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выра́щиваю
2nd Sing,выра́щиваешь
3rd Sing,выра́щивает
1st Pl,выра́щиваем
2nd Pl,выра́щиваете
3rd Pl,выра́щивают
Past M,выра́щивал
Past F,выра́щивала
Past N,выра́щивало
Past PL,выра́щивали
Imp S,выра́щивай
Imp PL,выра́щивайте
