Infinitive,вы́разить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́разивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́раженный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́разив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́разивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́ражу
2nd Sing,вы́разишь
3rd Sing,вы́разит
1st Pl,вы́разим
2nd Pl,вы́разите
3rd Pl,вы́разят
Past M,вы́разил
Past F,вы́разила
Past N,вы́разило
Past PL,вы́разили
Imp S,вы́рази
Imp PL,вы́разите
