Infinitive,выкру́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выкру́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выкру́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выкру́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выкру́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выкру́чиваюсь
2nd Sing,выкру́чиваешься
3rd Sing,выкру́чивается
1st Pl,выкру́чиваемся
2nd Pl,выкру́чиваетесь
3rd Pl,выкру́чиваются
Past M,выкру́чивался
Past F,выкру́чивалась
Past N,выкру́чивалось
Past PL,выкру́чивались
Imp S,выкру́чивайся
Imp PL,выкру́чивайтесь
