Infinitive,выплыва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,выплыва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выплыва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выплыва́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выплыва́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,выплыва́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,выплыва́ю
2nd Sing,выплыва́ешь
3rd Sing,выплыва́ет
1st Pl,выплыва́ем
2nd Pl,выплыва́ете
3rd Pl,выплыва́ют
Past M,выплыва́л
Past F,выплыва́ла
Past N,выплыва́ло
Past PL,выплыва́ли
Imp S,выплыва́й
Imp PL,выплыва́йте
