Infinitive,вы́прямить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́прямивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́прямленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́прямив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́прямивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́прямлю
2nd Sing,вы́прямишь
3rd Sing,вы́прямит
1st Pl,вы́прямим
2nd Pl,вы́прямите
3rd Pl,вы́прямят
Past M,вы́прямил
Past F,вы́прямила
Past N,вы́прямило
Past PL,вы́прямили
Imp S,вы́прями
Imp PL,вы́прямите
