Infinitive,выраба́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выраба́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выраба́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выраба́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выраба́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выраба́тываюсь
2nd Sing,выраба́тываешься
3rd Sing,выраба́тывается
1st Pl,выраба́тываемся
2nd Pl,выраба́тываетесь
3rd Pl,выраба́тываются
Past M,выраба́тывался
Past F,выраба́тывалась
Past N,выраба́тывалось
Past PL,выраба́тывались
Imp S,выраба́тывайся
Imp PL,выраба́тывайтесь
