Infinitive,вы́мыть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́мывший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́мытый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́мыв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́мывши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́мою
2nd Sing,вы́моешь
3rd Sing,вы́моет
1st Pl,вы́моем
2nd Pl,вы́моете
3rd Pl,вы́моют
Past M,вы́мыл
Past F,вы́мыла
Past N,вы́мыло
Past PL,вы́мыли
Imp S,вы́мой
Imp PL,вы́мойте
