Infinitive,вы́платить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́плативший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́плаченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́платив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́плативши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́плачу
2nd Sing,вы́платишь
3rd Sing,вы́платит
1st Pl,вы́платим
2nd Pl,вы́платите
3rd Pl,вы́платят
Past M,вы́платил
Past F,вы́платила
Past N,вы́платило
Past PL,вы́платили
Imp S,вы́плати
Imp PL,вы́платите
