Infinitive,высо́вываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,высо́вывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,высо́вывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,высо́вываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,высо́вывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,высо́вываюсь
2nd Sing,высо́вываешься
3rd Sing,высо́вывается
1st Pl,высо́вываемся
2nd Pl,высо́вываетесь
3rd Pl,высо́вываются
Past M,высо́вывался
Past F,высо́вывалась
Past N,высо́вывалось
Past PL,высо́вывались
Imp S,высо́вывайся
Imp PL,высо́вывайтесь
