Infinitive,вы́бросить
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́бросивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́брошенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́бросив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́бросивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́брошу
2nd Sing,вы́бросишь
3rd Sing,вы́бросит
1st Pl,вы́бросим
2nd Pl,вы́бросите
3rd Pl,вы́бросят
Past M,вы́бросил
Past F,вы́бросила
Past N,вы́бросило
Past PL,вы́бросили
Imp S,вы́броси
Imp PL,вы́бросьте
