Infinitive,вы́тряхнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́тряхнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́тряхнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́тряхнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́тряхнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́тряхну
2nd Sing,вы́тряхнешь
3rd Sing,вы́тряхнет
1st Pl,вы́тряхнем
2nd Pl,вы́тряхнете
3rd Pl,вы́тряхнут
Past M,вы́тряхнул
Past F,вы́тряхнула
Past N,вы́тряхнуло
Past PL,вы́тряхнули
Imp S,вы́тряхни
Imp PL,вы́тряхните
