Infinitive,вы́валиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́валившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́валившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́валюсь
2nd Sing,вы́валишься
3rd Sing,вы́валится
1st Pl,вы́валимся
2nd Pl,вы́валитесь
3rd Pl,вы́валятся
Past M,вы́валился
Past F,вы́валилась
Past N,вы́валилось
Past PL,вы́валились
Imp S,вы́вались
Imp PL,вы́валитесь
