Infinitive,вы́двинуться
Zaliznyak Class,3a[③]
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́двинувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́двинувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́двинусь
2nd Sing,вы́двинешься
3rd Sing,вы́двинется
1st Pl,вы́двинемся
2nd Pl,вы́двинетесь
3rd Pl,вы́двинутся
Past M,вы́двинулся
Past F,вы́двинулась
Past N,вы́двинулось
Past PL,вы́двинулись
Imp S,вы́двинись
Imp PL,вы́двиньтесь
