Infinitive,выка́зывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выка́зывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выка́зывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выка́зываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выка́зывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выка́зывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выка́зывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выка́зываю
2nd Sing,выка́зываешь
3rd Sing,выка́зывает
1st Pl,выка́зываем
2nd Pl,выка́зываете
3rd Pl,выка́зывают
Past M,выка́зывал
Past F,выка́зывала
Past N,выка́зывало
Past PL,выка́зывали
Imp S,выка́зывай
Imp PL,выка́зывайте
