Infinitive,вы́учиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́учившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́учившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́учусь
2nd Sing,вы́учишься
3rd Sing,вы́учится
1st Pl,вы́учимся
2nd Pl,вы́учитесь
3rd Pl,вы́учатся
Past M,вы́учился
Past F,вы́училась
Past N,вы́училось
Past PL,вы́учились
Imp S,вы́учись
Imp PL,вы́учитесь
