Infinitive,выска́зываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выска́зывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выска́зывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выска́зываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выска́зывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выска́зываюсь
2nd Sing,выска́зываешься
3rd Sing,выска́зывается
1st Pl,выска́зываемся
2nd Pl,выска́зываетесь
3rd Pl,выска́зываются
Past M,выска́зывался
Past F,выска́зывалась
Past N,выска́зывалось
Past PL,выска́зывались
Imp S,выска́зывайся
Imp PL,выска́зывайтесь
