Infinitive,вымира́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вымира́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вымира́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вымира́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вымира́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вымира́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вымира́ю
2nd Sing,вымира́ешь
3rd Sing,вымира́ет
1st Pl,вымира́ем
2nd Pl,вымира́ете
3rd Pl,вымира́ют
Past M,вымира́л
Past F,вымира́ла
Past N,вымира́ло
Past PL,вымира́ли
Imp S,вымира́й
Imp PL,вымира́йте
