Infinitive,вы́сыпаться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́сыпавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́сыпавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́сыплюсь
2nd Sing,вы́сыплешься
3rd Sing,вы́сыплется
1st Pl,вы́сыплемся
2nd Pl,вы́сыплетесь
3rd Pl,вы́сыплются
Past M,вы́сыпался
Past F,вы́сыпалась
Past N,вы́сыпалось
Past PL,вы́сыпались
Imp S,вы́сыпься
Imp PL,вы́сыпьтесь
