Infinitive,вы́травить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́травивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́травленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́травив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́травивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́травлю
2nd Sing,вы́травишь
3rd Sing,вы́травит
1st Pl,вы́травим
2nd Pl,вы́травите
3rd Pl,вы́травят
Past M,вы́травил
Past F,вы́травила
Past N,вы́травило
Past PL,вы́травили
Imp S,вы́трави
Imp PL,вы́травите
