Infinitive,вы́стирать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́стиравший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́стиранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́стирав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́стиравши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́стираю
2nd Sing,вы́стираешь
3rd Sing,вы́стирает
1st Pl,вы́стираем
2nd Pl,вы́стираете
3rd Pl,вы́стирают
Past M,вы́стирал
Past F,вы́стирала
Past N,вы́стирало
Past PL,вы́стирали
Imp S,вы́стирай
Imp PL,вы́стирайте
