Infinitive,вы́читать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́читавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́читанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́читав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́читавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́читаю
2nd Sing,вы́читаешь
3rd Sing,вы́читает
1st Pl,вы́читаем
2nd Pl,вы́читаете
3rd Pl,вы́читают
Past M,вы́читал
Past F,вы́читала
Past N,вы́читало
Past PL,вы́читали
Imp S,вы́читай
Imp PL,вы́читайте
