Infinitive,вы́ронить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́ронивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́роненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́ронив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́ронивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́роню
2nd Sing,вы́ронишь
3rd Sing,вы́ронит
1st Pl,вы́роним
2nd Pl,вы́роните
3rd Pl,вы́ронят
Past M,вы́ронил
Past F,вы́ронила
Past N,вы́ронило
Past PL,вы́ронили
Imp S,вы́рони
Imp PL,вы́роните
