Infinitive,вы́таращить
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́таращивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́таращенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́таращив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́таращивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́таращу
2nd Sing,вы́таращишь
3rd Sing,вы́таращит
1st Pl,вы́таращим
2nd Pl,вы́таращите
3rd Pl,вы́таращат
Past M,вы́таращил
Past F,вы́таращила
Past N,вы́таращило
Past PL,вы́таращили
Imp S,вы́таращи
Imp PL,вы́таращьте
