Infinitive,вы́бить
Zaliznyak Class,11a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́бивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́битый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́бив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́бивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́бью
2nd Sing,вы́бьешь
3rd Sing,вы́бьет
1st Pl,вы́бьем
2nd Pl,вы́бьете
3rd Pl,вы́бьют
Past M,вы́бил
Past F,вы́била
Past N,вы́било
Past PL,вы́били
Imp S,вы́бей
Imp PL,вы́бейте
