Infinitive,вы́ложить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́ложивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́ложенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́ложив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́ложивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́ложу
2nd Sing,вы́ложишь
3rd Sing,вы́ложит
1st Pl,вы́ложим
2nd Pl,вы́ложите
3rd Pl,вы́ложат
Past M,вы́ложил
Past F,вы́ложила
Past N,вы́ложило
Past PL,вы́ложили
Imp S,вы́ложи
Imp PL,вы́ложите
