Infinitive,выгля́дывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,выгля́дывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выгля́дывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выгля́дывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выгля́дывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,выгля́дывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,выгля́дываю
2nd Sing,выгля́дываешь
3rd Sing,выгля́дывает
1st Pl,выгля́дываем
2nd Pl,выгля́дываете
3rd Pl,выгля́дывают
Past M,выгля́дывал
Past F,выгля́дывала
Past N,выгля́дывало
Past PL,выгля́дывали
Imp S,выгля́дывай
Imp PL,выгля́дывайте
