Infinitive,вырыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вырыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вырыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вырыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вырыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вырыва́юсь
2nd Sing,вырыва́ешься
3rd Sing,вырыва́ется
1st Pl,вырыва́емся
2nd Pl,вырыва́етесь
3rd Pl,вырыва́ются
Past M,вырыва́лся
Past F,вырыва́лась
Past N,вырыва́лось
Past PL,вырыва́лись
Imp S,вырыва́йся
Imp PL,вырыва́йтесь
