Infinitive,вы́слушать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́слушавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́слушанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́слушав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́слушавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́слушаю
2nd Sing,вы́слушаешь
3rd Sing,вы́слушает
1st Pl,вы́слушаем
2nd Pl,вы́слушаете
3rd Pl,вы́слушают
Past M,вы́слушал
Past F,вы́слушала
Past N,вы́слушало
Past PL,вы́слушали
Imp S,вы́слушай
Imp PL,вы́слушайте
