Infinitive,вы́черкнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́черкнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́черкнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́черкнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́черкнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́черкну
2nd Sing,вы́черкнешь
3rd Sing,вы́черкнет
1st Pl,вы́черкнем
2nd Pl,вы́черкнете
3rd Pl,вы́черкнут
Past M,вы́черкнул
Past F,вы́черкнула
Past N,вы́черкнуло
Past PL,вы́черкнули
Imp S,вы́черкни
Imp PL,вы́черкните
