Infinitive,вы́работаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́работавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́работавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́работаюсь
2nd Sing,вы́работаешься
3rd Sing,вы́работается
1st Pl,вы́работаемся
2nd Pl,вы́работаетесь
3rd Pl,вы́работаются
Past M,вы́работался
Past F,вы́работалась
Past N,вы́работалось
Past PL,вы́работались
Imp S,вы́работайся
Imp PL,вы́работайтесь
