Infinitive,высвобожда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,высвобожда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,высвобожда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,высвобожда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,высвобожда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,высвобожда́юсь
2nd Sing,высвобожда́ешься
3rd Sing,высвобожда́ется
1st Pl,высвобожда́емся
2nd Pl,высвобожда́етесь
3rd Pl,высвобожда́ются
Past M,высвобожда́лся
Past F,высвобожда́лась
Past N,высвобожда́лось
Past PL,высвобожда́лись
Imp S,высвобожда́йся
Imp PL,высвобожда́йтесь
