Infinitive,вы́рваться
Zaliznyak Class,6°a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́рвавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́рвавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́рвусь
2nd Sing,вы́рвешься
3rd Sing,вы́рвется
1st Pl,вы́рвемся
2nd Pl,вы́рветесь
3rd Pl,вы́рвутся
Past M,вы́рвался
Past F,вы́рвалась
Past N,вы́рвалось
Past PL,вы́рвались
Imp S,вы́рвись
Imp PL,вы́рвитесь
