Infinitive,вы́крутить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́крутивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́крученный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́крутив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́крутивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́кручу
2nd Sing,вы́крутишь
3rd Sing,вы́крутит
1st Pl,вы́крутим
2nd Pl,вы́крутите
3rd Pl,вы́крутят
Past M,вы́крутил
Past F,вы́крутила
Past N,вы́крутило
Past PL,вы́крутили
Imp S,вы́крути
Imp PL,вы́крутите
