Infinitive,выска́кивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,выска́кивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выска́кивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выска́кивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выска́кивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,выска́кивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,выска́киваю
2nd Sing,выска́киваешь
3rd Sing,выска́кивает
1st Pl,выска́киваем
2nd Pl,выска́киваете
3rd Pl,выска́кивают
Past M,выска́кивал
Past F,выска́кивала
Past N,выска́кивало
Past PL,выска́кивали
Imp S,выска́кивай
Imp PL,выска́кивайте
