Infinitive,вы́тереть
Zaliznyak Class,9a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́терший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́тертый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́терев
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́терши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́тру
2nd Sing,вы́трешь
3rd Sing,вы́трет
1st Pl,вы́трем
2nd Pl,вы́трете
3rd Pl,вы́трут
Past M,вы́тер
Past F,вы́терла
Past N,вы́терло
Past PL,вы́терли
Imp S,вы́три
Imp PL,вы́трите
