Infinitive,вы́учить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́учивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́ученный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́учив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́учивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́учу
2nd Sing,вы́учишь
3rd Sing,вы́учит
1st Pl,вы́учим
2nd Pl,вы́учите
3rd Pl,вы́учат
Past M,вы́учил
Past F,вы́учила
Past N,вы́учило
Past PL,вы́учили
Imp S,вы́учи
Imp PL,вы́учите
