Infinitive,выбира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выбира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выбира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выбира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выбира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выбира́юсь
2nd Sing,выбира́ешься
3rd Sing,выбира́ется
1st Pl,выбира́емся
2nd Pl,выбира́етесь
3rd Pl,выбира́ются
Past M,выбира́лся
Past F,выбира́лась
Past N,выбира́лось
Past PL,выбира́лись
Imp S,выбира́йся
Imp PL,выбира́йтесь
