Infinitive,вы́грузить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́грузивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́груженный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́грузив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́грузивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́гружу
2nd Sing,вы́грузишь
3rd Sing,вы́грузит
1st Pl,вы́грузим
2nd Pl,вы́грузите
3rd Pl,вы́грузят
Past M,вы́грузил
Past F,вы́грузила
Past N,вы́грузило
Past PL,вы́грузили
Imp S,вы́грузи
Imp PL,вы́грузите
