Infinitive,выдава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выдаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выдава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выдава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выдава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выдаю́сь
2nd Sing,выдаёшься
3rd Sing,выдаётся
1st Pl,выдаёмся
2nd Pl,выдаётесь
3rd Pl,выдаю́тся
Past M,выдава́лся
Past F,выдава́лась
Past N,выдава́лось
Past PL,выдава́лись
Imp S,выдава́йся
Imp PL,выдава́йтесь
