Infinitive,вы́строить
Zaliznyak Class,4a②
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́строивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́строенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́строив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́строивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́строю
2nd Sing,вы́строишь
3rd Sing,вы́строит
1st Pl,вы́строим
2nd Pl,вы́строите
3rd Pl,вы́строят
Past M,вы́строил
Past F,вы́строила
Past N,вы́строило
Past PL,вы́строили
Imp S,вы́строй
Imp PL,вы́стройте
