Infinitive,вы́лизать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́лизавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́лизанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́лизав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́лизавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́лижу
2nd Sing,вы́лижешь
3rd Sing,вы́лижет
1st Pl,вы́лижем
2nd Pl,вы́лижете
3rd Pl,вы́лижут
Past M,вы́лизал
Past F,вы́лизала
Past N,вы́лизало
Past PL,вы́лизали
Imp S,вы́лижи
Imp PL,вы́лижите
