Infinitive,вы́красть
Zaliznyak Class,7a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́кравший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́краденный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́крав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́кравши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́краду
2nd Sing,вы́крадешь
3rd Sing,вы́крадет
1st Pl,вы́крадем
2nd Pl,вы́крадете
3rd Pl,вы́крадут
Past M,вы́крал
Past F,вы́крала
Past N,вы́крало
Past PL,вы́крали
Imp S,вы́кради
Imp PL,вы́крадите
