Infinitive,вы́ветриться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́ветрившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́ветрившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́ветрюсь
2nd Sing,вы́ветришься
3rd Sing,вы́ветрится
1st Pl,вы́ветримся
2nd Pl,вы́ветритесь
3rd Pl,вы́ветрятся
Past M,вы́ветрился
Past F,вы́ветрилась
Past N,вы́ветрилось
Past PL,вы́ветрились
Imp S,вы́ветрись
Imp PL,вы́ветритесь
