Infinitive,вы́держать
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́державший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́держанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́держав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́державши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́держу
2nd Sing,вы́держишь
3rd Sing,вы́держит
1st Pl,вы́держим
2nd Pl,вы́держите
3rd Pl,вы́держат
Past M,вы́держал
Past F,вы́держала
Past N,вы́держало
Past PL,вы́держали
Imp S,вы́держи
Imp PL,вы́держите
