Infinitive,выдвига́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выдвига́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выдвига́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выдвига́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выдвига́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выдвига́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выдвига́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выдвига́ю
2nd Sing,выдвига́ешь
3rd Sing,выдвига́ет
1st Pl,выдвига́ем
2nd Pl,выдвига́ете
3rd Pl,выдвига́ют
Past M,выдвига́л
Past F,выдвига́ла
Past N,выдвига́ло
Past PL,выдвига́ли
Imp S,выдвига́й
Imp PL,выдвига́йте
