Infinitive,выка́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выка́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выка́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выка́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выка́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выка́тываюсь
2nd Sing,выка́тываешься
3rd Sing,выка́тывается
1st Pl,выка́тываемся
2nd Pl,выка́тываетесь
3rd Pl,выка́тываются
Past M,выка́тывался
Past F,выка́тывалась
Past N,выка́тывалось
Past PL,выка́тывались
Imp S,выка́тывайся
Imp PL,выка́тывайтесь
