Infinitive,вы́дернуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́дернувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́дернутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́дернув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́дернувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́дерну
2nd Sing,вы́дернешь
3rd Sing,вы́дернет
1st Pl,вы́дернем
2nd Pl,вы́дернете
3rd Pl,вы́дернут
Past M,вы́дернул
Past F,вы́дернула
Past N,вы́дернуло
Past PL,вы́дернули
Imp S,вы́дерни
Imp PL,вы́дерните
