Infinitive,вы́сохнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́сохший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́сохши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́сохну
2nd Sing,вы́сохнешь
3rd Sing,вы́сохнет
1st Pl,вы́сохнем
2nd Pl,вы́сохнете
3rd Pl,вы́сохнут
Past M,вы́сох
Past F,вы́сохла
Past N,вы́сохло
Past PL,вы́сохли
Imp S,вы́сохни
Imp PL,вы́сохните
