Infinitive,выпе́ндриваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выпе́ндривающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выпе́ндривавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выпе́ндриваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выпе́ндривавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выпе́ндриваюсь
2nd Sing,выпе́ндриваешься
3rd Sing,выпе́ндривается
1st Pl,выпе́ндриваемся
2nd Pl,выпе́ндриваетесь
3rd Pl,выпе́ндриваются
Past M,выпе́ндривался
Past F,выпе́ндривалась
Past N,выпе́ндривалось
Past PL,выпе́ндривались
Imp S,выпе́ндривайся
Imp PL,выпе́ндривайтесь
