Infinitive,вы́нудить
Zaliznyak Class,4a(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́нудивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́нужденный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́нудив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́нудивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́нужу
2nd Sing,вы́нудишь
3rd Sing,вы́нудит
1st Pl,вы́нудим
2nd Pl,вы́нудите
3rd Pl,вы́нудят
Past M,вы́нудил
Past F,вы́нудила
Past N,вы́нудило
Past PL,вы́нудили
Imp S,вы́нуди
Imp PL,вы́нудите
