Infinitive,вы́теснить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́теснивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́тесненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́теснив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́теснивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́тесню
2nd Sing,вы́теснишь
3rd Sing,вы́теснит
1st Pl,вы́тесним
2nd Pl,вы́тесните
3rd Pl,вы́теснят
Past M,вы́теснил
Past F,вы́теснила
Past N,вы́теснило
Past PL,вы́теснили
Imp S,вы́тесни
Imp PL,вы́тесните
