Infinitive,вы́даться
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́давшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́давшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́дамся
2nd Sing,вы́дашься
3rd Sing,вы́дастся
1st Pl,вы́дадимся
2nd Pl,вы́дадитесь
3rd Pl,вы́дадутся
Past M,вы́дался
Past F,вы́далась
Past N,вы́далось
Past PL,вы́дались
Imp S,вы́дайся
Imp PL,вы́дайтесь
